date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:21:37	315/315	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2008%20Aug%202025%2000:21:37%20GMT	http://lastmileinc.ai/robots.txt		(from )
18:21:38	10161/10161	---M-Z	200	added ('OK')	text/html	etag:%2249a08e7-25eb-63583841ea7fc-gzip%22	http://lastmileinc.ai/	C:/Site/LastMile/lastmileinc.ai/index.html	(from )
18:21:38	7772/7772	---M-Z	200	added ('OK')	text/css	etag:%2249a08e9-1e5c-635838c9b8e8f-gzip%22	http://lastmileinc.ai/css/normalize.css	C:/Site/LastMile/lastmileinc.ai/css/normalize.css	(from http://lastmileinc.ai/)
18:21:38	38513/38513	---M-Z	200	added ('OK')	text/css	etag:%2249a08eb-9671-635838c9f0d1c-gzip%22	http://lastmileinc.ai/css/webflow.css	C:/Site/LastMile/lastmileinc.ai/css/webflow.css	(from http://lastmileinc.ai/)
18:21:38	258019/258019	---M-Z	200	added ('OK')	text/css	etag:%2249a08ea-3efe3-635838c9f0934-gzip%22	http://lastmileinc.ai/css/last-mile-f67d20.webflow.css	C:/Site/LastMile/lastmileinc.ai/css/last-mile-f67d20.webflow.css	(from http://lastmileinc.ai/)
18:21:40	34567/34567	---M--	200	added ('OK')	text/html	etag:%2249a08ed-8707-635838e8a3e24%22	http://lastmileinc.ai/images/93b299ff-0ad4-40a4-a3db-25ac0c89c127.avif	C:/Site/LastMile/lastmileinc.ai/images/93b299ff-0ad4-40a4-a3db-25ac0c89c127.html	(from http://lastmileinc.ai/)
18:21:41	4807/4807	---M--	200	added ('OK')	image/png	etag:%2249a08e1-12c7-635838ea7a990%22	http://lastmileinc.ai/images/webclip.png	C:/Site/LastMile/lastmileinc.ai/images/webclip.png	(from http://lastmileinc.ai/)
18:21:42	15086/15086	---M--	200	added ('OK')	image/x-icon	etag:%2249a08ec-3aee-635838e8a22cc%22	http://lastmileinc.ai/images/favicon.ico	C:/Site/LastMile/lastmileinc.ai/images/favicon.ico	(from http://lastmileinc.ai/)
18:21:42	13188/13188	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	C:/Site/LastMile/ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	(from http://lastmileinc.ai/)
18:21:42	315/315	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2008%20Aug%202025%2000:21:42%20GMT	http://lastmileinc.ai/placeholder.svg	C:/Site/LastMile/lastmileinc.ai/placeholder.svg	(from http://lastmileinc.ai/)
18:21:46	89476/89476	---MCZ	200	added ('OK')	application/javascript	etag:W/%22dc5e7f18c8d36ac1d3d4753a87c98d0a%22	https://d3e54v103j8qbb.cloudfront.net/js/jquery-3.5.1.min.dc5e7f18c8.js?site=681d1524f439a73d1755ee29	C:/Site/LastMile/d3e54v103j8qbb.cloudfront.net/js/jquery-3.5.1.min.dc5e7f18c87d1c.js	(from http://lastmileinc.ai/)
18:21:49	182454/182454	---MCZ	200	added ('OK')	text/javascript	etag:%2249a08f7-2c8b6-63583908f6bab-gzip%22	http://lastmileinc.ai/js/webflow.js	C:/Site/LastMile/lastmileinc.ai/js/webflow.js	(from http://lastmileinc.ai/)
18:21:49	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2008%20Aug%202025%2000:21:44%20GMT	https://img1.wsimg.com/traffic-assets/js/tccl.min.js	C:/Site/LastMile/img1.wsimg.com/traffic-assets/js/tccl.min.b.delayed	(from http://lastmileinc.ai/)
18:21:50	318/318	---M--	403	error ('Forbidden')	text/html	date:Fri,%2008%20Aug%202025%2000:21:50%20GMT	http://lastmileinc.ai/images/	C:/Site/LastMile/lastmileinc.ai/images/index.html	(from http://lastmileinc.ai/css/last-mile-f67d20.webflow.css)
18:21:51	102055/102055	---M-Z	200	added ('OK')	text/javascript	etag:%2232285108dd7cc5067d47178e545b477a%22	https://img1.wsimg.com/signals/js/clients/scc-c2/scc-c2.min.js	C:/Site/LastMile/img1.wsimg.com/signals/js/clients/scc-c2/scc-c2.min.js	(from http://lastmileinc.ai/)
18:23:16	2232414/2232414	---M--	200	added ('OK')	image/jpeg	etag:%2249a08f6-22105e-635838ecc8b2e%22	http://lastmileinc.ai/images/pexels-cookiecutter-1148820.jpg	C:/Site/LastMile/lastmileinc.ai/images/pexels-cookiecutter-1148820.jpg	(from http://lastmileinc.ai/)
